ISO,Country,Units,Scale,Country/Series-specific Notes,2020,Estimates Start After
MNE,Montenegro,Purchasing power parity; 2017 international dollar,Units,,"18,855.65",2019
MAR,Morocco,Purchasing power parity; 2017 international dollar,Units,,"7,198.40",2018
MOZ,Mozambique,Purchasing power parity; 2017 international dollar,Units,,"1,210.15",2015
MMR,Myanmar,Purchasing power parity; 2017 international dollar,Units,,"4,899.65",2015
NAM,Namibia,Purchasing power parity; 2017 international dollar,Units,,"9,022.96",2019
NRU,Nauru,Purchasing power parity; 2017 international dollar,Units,,"9,342.49",2016
NPL,Nepal,Purchasing power parity; 2017 international dollar,Units,,"3,392.14",2018
NLD,Netherlands,Purchasing power parity; 2017 international dollar,Units,,"54,021.85",2019
NZL,New Zealand,Purchasing power parity; 2017 international dollar,Units,,"38,857.30",2019
NIC,Nicaragua,Purchasing power parity; 2017 international dollar,Units,,"5,146.14",2017
NER,Niger,Purchasing power parity; 2017 international dollar,Units,,"1,185.08",2009
NGA,Nigeria,Purchasing power parity; 2017 international dollar,Units,,"4,792.36",2012
MKD,North Macedonia,Purchasing power parity; 2017 international dollar,Units,,"15,713.57",2019
NOR,Norway,Purchasing power parity; 2017 international dollar,Units,,"61,358.71",2018
OMN,Oman,Purchasing power parity; 2017 international dollar,Units,,"28,295.10",2018
PAK,Pakistan,Purchasing power parity; 2017 international dollar,Units,,"4,881.90",2020
PLW,Palau,Purchasing power parity; 2017 international dollar,Units,,"13,395.12",2018
PAN,Panama,Purchasing power parity; 2017 international dollar,Units,,"28,414.38",2019
PNG,Papua New Guinea,Purchasing power parity; 2017 international dollar,Units,,"3,652.65",2014
PRY,Paraguay,Purchasing power parity; 2017 international dollar,Units,,"11,828.40",2018
PER,Peru,Purchasing power parity; 2017 international dollar,Units,,"10,895.05",2018
PHL,Philippines,Purchasing power parity; 2017 international dollar,Units,,"8,111.32",2019
POL,Poland,Purchasing power parity; 2017 international dollar,Units,,"31,919.16",2019
PRT,Portugal,Purchasing power parity; 2017 international dollar,Units,,"31,344.39",2019
PRI,Puerto Rico,Purchasing power parity; 2017 international dollar,Units,,"33,110.83",2018
QAT,Qatar,Purchasing power parity; 2017 international dollar,Units,,"86,941.04",2018
ROU,Romania,Purchasing power parity; 2017 international dollar,Units,,"28,515.48",2019
RUS,Russia,Purchasing power parity; 2017 international dollar,Units,,"25,916.48",2019
RWA,Rwanda,Purchasing power parity; 2017 international dollar,Units,,"2,263.53",2012
WSM,Samoa,Purchasing power parity; 2017 international dollar,Units,,"5,247.84",2016
SMR,San Marino,Purchasing power parity; 2017 international dollar,Units,,"53,632.25",2018
STP,São Tomé and Príncipe,Purchasing power parity; 2017 international dollar,Units,,"3,629.91",2011
SAU,Saudi Arabia,Purchasing power parity; 2017 international dollar,Units,,"43,777.35",2019
SEN,Senegal,Purchasing power parity; 2017 international dollar,Units,,"3,276.07",2018
SRB,Serbia,Purchasing power parity; 2017 international dollar,Units,,"17,824.23",2019
SYC,Seychelles,Purchasing power parity; 2017 international dollar,Units,,"24,964.86",2015
SLE,Sierra Leone,Purchasing power parity; 2017 international dollar,Units,,"1,618.58",2017
SGP,Singapore,Purchasing power parity; 2017 international dollar,Units,,"90,447.36",2019
SVK,Slovak Republic,Purchasing power parity; 2017 international dollar,Units,,"30,448.59",2019
SVN,Slovenia,Purchasing power parity; 2017 international dollar,Units,,"36,429.80",2019
SLB,Solomon Islands,Purchasing power parity; 2017 international dollar,Units,,"2,310.38",2015
SOM,Somalia,Purchasing power parity; 2017 international dollar,Units,,,
ZAF,South Africa,Purchasing power parity; 2017 international dollar,Units,,"11,269.06",2019
SSD,South Sudan,Purchasing power parity; 2017 international dollar,Units,,836.027,2008
ESP,Spain,Purchasing power parity; 2017 international dollar,Units,,"36,086.10",2019
LKA,Sri Lanka,Purchasing power parity; 2017 international dollar,Units,,"12,406.39",2019
KNA,St. Kitts and Nevis,Purchasing power parity; 2017 international dollar,Units,,"19,894.00",2015
LCA,St. Lucia,Purchasing power parity; 2017 international dollar,Units,,"12,968.59",2015
VCT,St. Vincent and the Grenadines,Purchasing power parity; 2017 international dollar,Units,,"11,606.01",2016
SDN,Sudan,Purchasing power parity; 2017 international dollar,Units,,"3,547.18",2011
SUR,Suriname,Purchasing power parity; 2017 international dollar,Units,,"13,817.38",2016
SWE,Sweden,Purchasing power parity; 2017 international dollar,Units,,"49,646.44",2019
CHE,Switzerland,Purchasing power parity; 2017 international dollar,Units,,"64,654.10",2019
SYR,Syria,Purchasing power parity; 2017 international dollar,Units,,,
TWN,Taiwan Province of China,Purchasing power parity; 2017 international dollar,Units,,"51,106.56",2019
TJK,Tajikistan,Purchasing power parity; 2017 international dollar,Units,,"3,367.56",2014
TZA,Tanzania,Purchasing power parity; 2017 international dollar,Units,,"2,696.89",2012
THA,Thailand,Purchasing power parity; 2017 international dollar,Units,,"17,098.17",2018
TLS,Timor-Leste,Purchasing power parity; 2017 international dollar,Units,,"3,814.07",2018
TGO,Togo,Purchasing power parity; 2017 international dollar,Units,,"1,551.15",2016
TON,Tonga,Purchasing power parity; 2017 international dollar,Units,,"5,746.48",2019
TTO,Trinidad and Tobago,Purchasing power parity; 2017 international dollar,Units,,"24,564.12",2018
TUN,Tunisia,Purchasing power parity; 2017 international dollar,Units,,"9,821.78",2019
TUR,Turkey,Purchasing power parity; 2017 international dollar,Units,,"26,767.71",2019
TKM,Turkmenistan,Purchasing power parity; 2017 international dollar,Units,,"15,809.78",2004
TUV,Tuvalu,Purchasing power parity; 2017 international dollar,Units,,"4,238.41",2012
UGA,Uganda,Purchasing power parity; 2017 international dollar,Units,,"2,445.80",2016
UKR,Ukraine,Purchasing power parity; 2017 international dollar,Units,,"12,024.90",2019
ARE,United Arab Emirates,Purchasing power parity; 2017 international dollar,Units,,"55,312.90",2005
GBR,United Kingdom,Purchasing power parity; 2017 international dollar,Units,,"41,899.45",2019
USA,United States,Purchasing power parity; 2017 international dollar,Units,,"59,651.00",2019
URY,Uruguay,Purchasing power parity; 2017 international dollar,Units,,"20,187.40",2015
UZB,Uzbekistan,Purchasing power parity; 2017 international dollar,Units,,"6,980.11",2019
VUT,Vanuatu,Purchasing power parity; 2017 international dollar,Units,,"2,506.18",2017
VEN,Venezuela,Purchasing power parity; 2017 international dollar,Units,,"5,259.27",2010
VNM,Vietnam,Purchasing power parity; 2017 international dollar,Units,,"10,174.53",2019
WBG,West Bank and Gaza,Purchasing power parity; 2017 international dollar,Units,,"5,029.64",2019
YEM,Yemen,Purchasing power parity; 2017 international dollar,Units,,"1,826.98",2019
ZMB,Zambia,Purchasing power parity; 2017 international dollar,Units,,"3,124.20",2018
ZWE,Zimbabwe,Purchasing power parity; 2017 international dollar,Units,,"2,443.71",2017
,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2020",,,,,,
