iso3,Country,Risk Description,2020,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities,2019,2018,2017,2016
DOM,Dominican Republic,Very High,11.57,24.85,46.57,24.03,37.46,78.23,11.72,10.77,11.34,10.96
DZA,Algeria,Medium,7.55,16.51,45.75,20.97,39.3,76.97,7.66,7.54,7.76,7.36
ECU,Ecuador,High,8.42,17.96,46.88,25.16,39.53,75.96,8.48,8.1,7.66,7.53
EGY,Egypt,Very Low,1.78,3.72,47.98,22.01,39.54,82.39,1.84,1.9,2.3,2.29
ERI,Eritrea,Medium,6.77,9.65,70.17,61.46,59.53,89.51,6.94,5.62,6.32,6.35
ESP,Spain,Low,3.61,11.74,30.77,16.07,18.82,57.42,3.46,2.8,3.23,3.05
EST,Estonia,Very Low,2.03,6.52,31.11,16.44,21.68,55.21,2.04,2.25,2.45,2.36
ETH,Ethiopia,High,7.82,11.68,66.93,56.77,57.49,86.52,7.79,7.15,7.45,7.04
FIN,Finland,Very Low,1.96,8.22,23.8,15.66,15.93,39.81,1.94,2.06,2.25,2.21
FJI,Fiji,Very High,16.0,34.63,46.21,21.98,40.4,76.24,17.83,16.58,13.5,13.15
FRA,France,Very Low,2.47,9.62,25.66,16.61,16.22,44.14,2.37,2.34,2.73,2.62
GAB,Gabon,Medium,6.73,13.0,51.74,32.07,47.28,75.88,6.74,6.52,6.14,6.04
GBR,United Kingdom,Low,3.46,12.58,27.53,16.42,19.09,47.07,3.3,3.31,3.6,3.54
